Path;SBE_version;Start_Time;System_Upload_Date;Date_from_the_Name_File;Latitude;Row_Latitude;Longitude;Row_Longitude;Station;Station_From_Name;Max_Depth;Surface_temperature;Max_difference_Tmd_Temperature;Unit_Temperature;Count_True;Count_Total;Dive_Begin_Index;Dive_End_Index;Error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mKM0727_400m.cnv;SBE 19;27.07.2024 13:03;27.07.2024 17:25;;None;None;None;None;mp Kadilniy-Mishikha (350m);mKM;432.754;16.6779;None;tv290C: Temperature [ITS-90, deg C];0;1318;56;1373;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mKrestRing0728.cnv;SBE 19;28.07.2024 16:11;28.07.2024 17:01;28.07.2024;None;None;None;None;Krestovskii;mKrestRing;1014.047;18.9553;None;tv290C: Temperature [ITS-90, deg C];0;2013;65;2077;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mLT0726.cnv;SBE 19;26.07.2024 6:48;26.07.2024 8:40;26.07.2024;None;None;None;None;mp Listvyanka-Tankhoy(pup);mLT;1414.882;15.5128;None;tv290C: Temperature [ITS-90, deg C];0;2675;167;2841;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mMS0724.cnv;SBE 19;24.07.2024 15:53;24.07.2024 16:42;24.07.2024;None;None;None;None;mp Marituy-Solzan;mMS;1253.344;16.0803;0.016171064;tv290C: Temperature [ITS-90, deg C];30;2193;82;2274;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mMuUr0801.cnv;SBE 19;01.08.2024 6:36;01.08.2024 7:11;01.08.2024;None;None;None;None;mp Muzhinay-Urbican;mMuUr;885.874;16.0105;None;tv290C: Temperature [ITS-90, deg C];0;1630;53;1682;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mpRytii0804.cnv;SBE 19;04.08.2024 15:13;04.08.2024 16:24;04.08.2024;None;None;None;None;mp Rytii;mpRytii;777.95;19.17;None;tv290C: Temperature [ITS-90, deg C];0;1444;68;1511;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mSU0804.cnv;SBE 19;04.08.2024 12:26;04.08.2024 14:12;04.08.2024;None;None;None;None;mp Solnechnaya-Ushkaniy;mSU;883.12;19.3439;None;tv290C: Temperature [ITS-90, deg C];0;1701;41;1741;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mSU0804_1_100-350m.cnv;SBE 19;04.08.2024 17:13;04.08.2024 17:32;;None;None;None;None;mp Solnechnaya-Ushkaniy  (100-350m);mSU;378.68;18.5607;None;tv290C: Temperature [ITS-90, deg C];0;868;2;869;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mSU0804_2_100-150m.cnv;SBE 19;04.08.2024 18:50;04.08.2024 19:02;;None;None;None;None;mp Solnechnaya-Ushkaniy (100-150m);mSU;162.512;18.953;None;tv290C: Temperature [ITS-90, deg C];0;514;80;593;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mSU0804_3_200-350m.cnv;SBE 19;04.08.2024 19:53;04.08.2024 20:09;;None;None;None;None;mp Solnechnaya-Ushkaniy (200-350m);mSU;356.919;19.1567;None;tv290C: Temperature [ITS-90, deg C];0;901;43;943;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mTN0802.cnv;SBE 19;02.08.2024 10:51;02.08.2024 12:52;02.08.2024;None;None;None;None;mp Tiya-Nemnyanka;mTN;654.467;20.2036;0.078604952;tv290C: Temperature [ITS-90, deg C];17;1296;31;1326;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mTSG0725.cnv;SBE 19;25.07.2024 22:16;25.07.2024 22:59;25.07.2024;None;None;None;None;mp Tolstiy-Snezhnaya (mTSG);mTSG;1118.057;16.8418;None;tv290C: Temperature [ITS-90, deg C];0;2216;78;2293;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mUT0729.cnv;SBE 19;29.07.2024 15:46;29.07.2024 16:41;29.07.2024;None;None;None;None;mp Ukhan-Tonkiy;mUT;1563.245;22.1915;None;tv290C: Temperature [ITS-90, deg C];0;2735;40;2774;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mVB0728.cnv;SBE 19;28.07.2024 23:22;29.07.2024 0:12;28.07.2024;None;None;None;None;mp Vorota-Boldakovo;mVB;1368.686;18.8762;0.011707876;tv290C: Temperature [ITS-90, deg C];1;2666;39;2704;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\nearIrk0728.cnv;SBE 19;28.07.2024 2:37;28.07.2024 3:19;28.07.2024;None;None;None;None;Near Irkutsk;nearIrk;1063.743;18.0761;None;tv290C: Temperature [ITS-90, deg C];0;2023;34;2056;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\Uzury-h1000m_0730.cnv;SBE 19;30.07.2024 4:50;30.07.2024 5:34;30.07.2024;None;None;None;None;Uzury_h1000m;Uzury;1108.489;16.2835;None;tv290C: Temperature [ITS-90, deg C];0;2235;61;2295;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\12kKu0724.cnv;SBE25;24.07.2024 8:43;24.07.2024 9:22;24.07.2024;51.67208333;51 40.325;103.8756;103 52.536;12 km Kultuk;12kKu;1223.954;7.6841;None;t090C: Temperature [ITS-90, deg C];0;2262;12;2273;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kBa0802.cnv;SBE25;02.08.2024 3:34;02.08.2024 3:54;02.08.2024;55.34986667;55 20.992;109.2451833;109 14.711;3 km Baikalskoe;3kBa;602.274;17.1398;0.150208126;t090C: Temperature [ITS-90, deg C];364;1134;16;1149;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kBo0729.cnv;SBE25;29.07.2024 4:33;29.07.2024 4:46;29.07.2024;52.61888333;52 37.133;107.2658667;107 15.952;3 km Boldakovo;3kBo;331.22;16.0837;None;t090C: Temperature [ITS-90, deg C];0;603;32;634;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kDa0731.cnv;SBE25;31.07.2024 7:55;31.07.2024 8:04;31.07.2024;54.37931667;54 22.759;109.4238333;109 25.430;3 km Davsha;3kDa;88.178;9.5816;0.007014643;t090C: Temperature [ITS-90, deg C];3;177;27;203;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kEl0731.cnv;SBE25;31.07.2024 17:18;31.07.2024 17:45;31.07.2024;54.52646667;54 31.588;108.7048833;108 42.293;3 km Elohin;3kEl;881.446;9.8359;None;t090C: Temperature [ITS-90, deg C];0;1588;3;1590;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kKa0727.cnv;SBE25;27.07.2024 10:59;27.07.2024 11:41;27.07.2024;51.89345;51 53.607;105.2483667;105 14.902;3 km Kadil'niy;3kKa;1377.054;9.8646;None;t090C: Temperature [ITS-90, deg C];0;2484;13;2496;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kLi0726.cnv;SBE25;26.07.2024 15:29;26.07.2024 16:07;26.07.2024;51.81561667;51 48.937;104.90725;104 54.435;3 km Listvyanka;3kLi;1402.763;11.4586;None;t090C: Temperature [ITS-90, deg C];0;2531;3;2533;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kMa0724.cnv;SBE25;24.07.2024 12:29;24.07.2024 13:06;24.07.2024;51.76036667;51 45.622;104.2245833;104 13.475;3m Mariruy;3kMa;1337.612;8.5038;None;t090C: Temperature [ITS-90, deg C];0;2541;8;2548;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kMi0727.cnv;SBE25;27.07.2024 6:01;27.07.2024 6:24;27.07.2024;51.66673333;51 40.004;105.5013333;105 30.080;3 km Mishiha;3kMi;630.926;18.8221;None;t090C: Temperature [ITS-90, deg C];0;1160;2;1161;not error
CTD_Data\2024\07_Ver\sbe25\cnvdata\3kSo0724.cnv;SBE25;24.07.2024 2:16;24.07.2024 2:37;24.07.2024;51.52878333;51 31.727;104.2326;104 13.956;3 km Solzan;3kSo;481.229;16.9652;None;t090C: Temperature [ITS-90, deg C];0;894;4;897;not error
